budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_str,keywords_str,production_companies_str,year,profit,roi,poster_url,trailer_url,director,cast,writer,cinematographer,composer,producer,synthetic_vibe,rag_content
74000000.0,"['Family', 'Animation', 'Adventure', 'Comedy']",http://www.minionsmovie.com/,211672,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions', '3d']",en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",875.581305,"['Universal Pictures', 'Illumination Entertainment']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-17,1156730962.0,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Before Gru, they had a history of bad bosses",Minions,6.4,4571,"Family, Animation, Adventure, Comedy","assistant, aftercreditsstinger, duringcreditsstinger, evil mastermind, minions, 3d","Universal Pictures, Illumination Entertainment",2015.0,1082730962.0,15.631499486486486,https://image.tmdb.org/t/p/w500/dr02BdCNAUPVU07aOodwPYv6HCf.jpg,https://www.youtube.com/watch?v=Wfql_DoHRKc,"Kyle Balda, Pierre Coffin","Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan, Jennifer Saunders",Brian Lynch,,Heitor Pereira,"Janet Healy, Chris Meledandri",Kiddie chaos and slapstick fun. Minions' antics are perfect for a family movie night on a lazy Sunday afternoon when you want to zone out from reality.,"Minions (2015) is a Family, Animation, Adventure, Comedy film directed by Kyle Balda, Pierre Coffin. Produced by Universal Pictures, Illumination Entertainment in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Kiddie chaos and slapstick fun. Minions' antics are perfect for a family movie night on a lazy Sunday afternoon when you want to zone out from reality.. Synopsis: Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world. Starring: Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan, Jennifer Saunders. Written by Brian Lynch. Score by Heitor Pereira. Tagline: 'Before Gru, they had a history of bad bosses'. Runtime: 91 min. Rating: 6.4/10. Keywords: assistant, aftercreditsstinger, duringcreditsstinger, evil mastermind, minions, 3d."
165000000.0,"['Adventure', 'Drama', 'Science Fiction']",http://www.interstellarmovie.net/,157336,"['saving the world', 'artificial intelligence', 'father son relationship', 'single parent', 'nasa', 'expedition', 'wormhole', 'space travel', 'famine', 'black hole', 'dystopia', 'race against time', 'quantum mechanics', 'spaceship', 'space', 'rescue', 'family relationships', 'farmhouse', 'robot', 'astronaut', 'scientist', 'father daughter relationship', 'single father', 'farmer', 'space station', 'imax', 'astrophysics', 'zero gravity', 'courage', 'time paradox', 'relativity']",en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2014-11-05,675120017.0,169.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867,"Adventure, Drama, Science Fiction","saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity","Paramount Pictures, Legendary Pictures, Warner Bros., Syncopy, Lynda Obst Productions",2014.0,510120017.0,4.0916364666666665,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,https://www.youtube.com/watch?v=LY19rHKAaAg,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley","Jonathan Nolan, Christopher Nolan",Hoyte van Hoytema,Hans Zimmer,"Lynda Obst, Christopher Nolan, Emma Thomas",Cosmic awe and existential dread. Matthew McConaughey's cornfield scene will haunt you. Perfect for a rainy afternoon when you're trying to grasp the mysteries of the universe alone.,"Interstellar (2014) is a Adventure, Drama, Science Fiction film directed by Christopher Nolan. Produced by Paramount Pictures, Legendary Pictures, Warner Bros., Syncopy, Lynda Obst Productions in [{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]. Language: en. Atmosphere: Cosmic awe and existential dread. Matthew McConaughey's cornfield scene will haunt you. Perfect for a rainy afternoon when you're trying to grasp the mysteries of the universe alone.. Synopsis: Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage. Starring: Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley. Written by Jonathan Nolan, Christopher Nolan. Score by Hans Zimmer. Tagline: 'Mankind was born on Earth. It was never meant to die here.'. Runtime: 169 min. Rating: 8.1/10. Keywords: saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space."
58000000.0,"['Action', 'Adventure', 'Comedy']",http://www.foxmovies.com/movies/deadpool,293660,"['anti hero', 'mercenary', 'marvel comic', 'superhero', 'based on comic book', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'self healing']",en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",514.569956,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-02-09,783112979.0,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Witness the beginning of a happy ending,Deadpool,7.4,10995,"Action, Adventure, Comedy","anti hero, mercenary, marvel comic, superhero, based on comic book, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, self healing","Twentieth Century Fox Film Corporation, Marvel Entertainment, The Donners' Company, TSG Entertainment, Kinberg Genre",2016.0,725112979.0,13.501947913793105,https://image.tmdb.org/t/p/w500/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,https://www.youtube.com/watch?v=9vN6DHB6bJc,Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano, Leslie Uggams","Rhett Reese, Paul Wernick",Ken Seng,Tom Holkenborg,"Ryan Reynolds, Lauren Shuler Donner, Simon Kinberg","Darkly comedic and action-packed, but above all, irreverent. Ryan Reynolds' wit and charm are the sauce. Watch with friends when you need a laugh at someone else's expense on a Friday night.","Deadpool (2016) is a Action, Adventure, Comedy film directed by Tim Miller. Produced by Twentieth Century Fox Film Corporation, Marvel Entertainment, The Donners' Company, TSG Entertainment, Kinberg Genre in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Darkly comedic and action-packed, but above all, irreverent. Ryan Reynolds' wit and charm are the sauce. Watch with friends when you need a laugh at someone else's expense on a Friday night.. Synopsis: Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life. Starring: Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano, Leslie Uggams. Written by Rhett Reese, Paul Wernick. Score by Tom Holkenborg. Tagline: 'Witness the beginning of a happy ending'. Runtime: 108 min. Rating: 7.4/10. Keywords: anti hero, mercenary, marvel comic, superhero, based on comic book, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, self healing."
170000000.0,"['Action', 'Science Fiction', 'Adventure']",http://marvel.com/guardians,118340,"['marvel comic', 'spaceship', 'space', 'outer space', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",481.098624,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-07-30,773328629.0,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742,"Action, Science Fiction, Adventure","marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe","Marvel Studios, Moving Picture Company (MPC), Bulletproof Cupid, Revolution Sun Studios",2014.0,603328629.0,4.548991935294118,https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,https://www.youtube.com/watch?v=3CqymRQ1uUU,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace","James Gunn, Nicole Perlman",Ben Davis,Tyler Bates,Kevin Feige,"Quirky space-funk and non-stop nostalgia. Star-Lord's mixtape soundtrack, Gamora's sassiness, and Rocket Raccoon's... well, everything he does. Watch with friends on a lazy Sunday afternoon when you need some feel-good distraction.","Guardians of the Galaxy (2014) is a Action, Science Fiction, Adventure film directed by James Gunn. Produced by Marvel Studios, Moving Picture Company (MPC), Bulletproof Cupid, Revolution Sun Studios in [{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Quirky space-funk and non-stop nostalgia. Star-Lord's mixtape soundtrack, Gamora's sassiness, and Rocket Raccoon's... well, everything he does. Watch with friends on a lazy Sunday afternoon when you need some feel-good distraction.. Synopsis: Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser. Starring: Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace. Written by James Gunn, Nicole Perlman. Score by Tyler Bates. Tagline: 'All heroes start somewhere.'. Runtime: 121 min. Rating: 7.9/10. Keywords: marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe."
150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",http://www.madmaxmovie.com/,76341,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'rescue', 'survival', 'on the run', 'convoy', 'peak oil', 'dark future']",en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",434.278564,"['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-05-13,378858340.0,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What a Lovely Day.,Mad Max: Fury Road,7.2,9427,"Action, Adventure, Science Fiction, Thriller","future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future","Village Roadshow Pictures, Kennedy Miller Productions, Warner Bros.",2015.0,228858340.0,2.5257222666666665,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg,https://www.youtube.com/watch?v=MonFNCgK4WE,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones","George Miller, Nico Lathouris, Brendan McCarthy",John Seale,Tom Holkenborg,"Doug Mitchell, P.J. Voeten, George Miller",Post-apocalyptic adrenaline rush with Imperator Furiosa's iconic biceps and George Miller's masterful action sequences. Watch on a long road trip or when you need an intense distraction from reality.,"Mad Max: Fury Road (2015) is a Action, Adventure, Science Fiction, Thriller film directed by George Miller. Produced by Village Roadshow Pictures, Kennedy Miller Productions, Warner Bros. in [{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Post-apocalyptic adrenaline rush with Imperator Furiosa's iconic biceps and George Miller's masterful action sequences. Watch on a long road trip or when you need an intense distraction from reality.. Synopsis: An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland. Starring: Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones. Written by George Miller, Nico Lathouris, Brendan McCarthy. Score by Tom Holkenborg. Tagline: 'What a Lovely Day.'. Runtime: 120 min. Rating: 7.2/10. Keywords: future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future."
150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",http://www.jurassicworld.com/,135397,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-09,1513528810.0,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The park is open.,Jurassic World,6.5,8662,"Action, Adventure, Science Fiction, Thriller","monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror","Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",2015.0,1363528810.0,10.090192066666669,https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,https://www.youtube.com/watch?v=aJJrkyHas78,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins, Nick Robinson","Rick Jaffa, Amanda Silver, Derek Connolly",John Schwartzman,Michael Giacchino,"Frank Marshall, Patrick Crowley","Cheesy fun, over-the-top action. Chris Pratt's rugged charm and those velociraptors are perfect for a Saturday night with friends.","Jurassic World (2015) is a Action, Adventure, Science Fiction, Thriller film directed by Colin Trevorrow. Produced by Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Cheesy fun, over-the-top action. Chris Pratt's rugged charm and those velociraptors are perfect for a Saturday night with friends.. Synopsis: Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond. Starring: Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins, Nick Robinson. Written by Rick Jaffa, Amanda Silver, Derek Connolly. Score by Michael Giacchino. Tagline: 'The park is open.'. Runtime: 124 min. Rating: 6.5/10. Keywords: monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d."
140000000.0,"['Adventure', 'Fantasy', 'Action']",http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22,"['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden eye', 'gold coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger', 'pirate ship', 'capuchin monkey', 'tortuga']",en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-07-09,655011224.0,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,"Adventure, Fantasy, Action","exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga","Walt Disney Pictures, Jerry Bruckheimer Films",2003.0,515011224.0,4.6786516,https://image.tmdb.org/t/p/w500/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,https://www.youtube.com/watch?v=-9HT0l9HV4c,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce","Terry Rossio, Ted Elliott",Dariusz Wolski,Klaus Badelt,Jerry Bruckheimer,"Swashbuckling adventure meets quirky charm. Johnny Depp's eccentric Captain Jack Sparrow is a meme masterclass. Watch on a warm summer evening with friends, sipping rum and pretending you're a pirate too.","Pirates of the Caribbean: The Curse of the Black Pearl (2003) is a Adventure, Fantasy, Action film directed by Gore Verbinski. Produced by Walt Disney Pictures, Jerry Bruckheimer Films in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Swashbuckling adventure meets quirky charm. Johnny Depp's eccentric Captain Jack Sparrow is a meme masterclass. Watch on a warm summer evening with friends, sipping rum and pretending you're a pirate too.. Synopsis: Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple. Starring: Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce. Written by Terry Rossio, Ted Elliott. Score by Klaus Badelt. Tagline: 'Prepare to be blown out of the water.'. Runtime: 143 min. Rating: 7.5/10. Keywords: exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler."
170000000.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']",http://www.dawnofapes.com/,119450,"['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medical research', 'animal attack', 'plague', '3d']",en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",243.791743,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-26,710644566.0,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410,"Science Fiction, Action, Drama, Thriller","leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d","Ingenious Media, Chernin Entertainment, TSG Entertainment",2014.0,540644566.0,4.180262152941176,https://image.tmdb.org/t/p/w500/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,https://www.youtube.com/watch?v=DpSaTrW4leg,Matt Reeves,"Andy Serkis, Jason Clarke, Toby Kebbell, Gary Oldman, Keri Russell, Kodi Smit-McPhee","Amanda Silver, Mark Bomback, Rick Jaffa",Michael Seresin,Michael Giacchino,"Dylan Clark, Peter Chernin, Rick Jaffa","Dystopian sci-fi dread with Gary Oldman's worried face. 'Caesar wants you to leave', perfect for a rainy afternoon when you need to confront the impending doom of humanity.","Dawn of the Planet of the Apes (2014) is a Science Fiction, Action, Drama, Thriller film directed by Matt Reeves. Produced by Ingenious Media, Chernin Entertainment, TSG Entertainment in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Dystopian sci-fi dread with Gary Oldman's worried face. 'Caesar wants you to leave', perfect for a rainy afternoon when you need to confront the impending doom of humanity.. Synopsis: A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes. Starring: Andy Serkis, Jason Clarke, Toby Kebbell, Gary Oldman, Keri Russell, Kodi Smit-McPhee. Written by Amanda Silver, Mark Bomback, Rick Jaffa. Score by Michael Giacchino. Tagline: 'One last chance for peace.'. Runtime: 130 min. Rating: 7.3/10. Keywords: leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d."
125000000.0,"['Science Fiction', 'Adventure', 'Thriller']",http://www.thehungergames.movie/,131631,"['resistance', 'post-apocalyptic', 'dystopia', 'war', 'sequel', 'female protagonist', 'bow and arrow', 'game', 'future war', 'revolt', 'class prejudice', 'human subjugation', 'based on young adult novel']",en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,206.227151,"['Lionsgate', 'Color Force']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-11-18,752100229.0,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584,"Science Fiction, Adventure, Thriller","resistance, post-apocalyptic, dystopia, war, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel","Lionsgate, Color Force",2014.0,627100229.0,6.016801832,https://image.tmdb.org/t/p/w500/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,https://www.youtube.com/watch?v=IXshQ5mv1K8,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Julianne Moore","Danny Strong, Peter Craig",Jo Willems,James Newton Howard,"Jon Kilik, Nina Jacobson","Gritty dystopian realism with Jennifer Lawrence's unyielding determination. 'May the odds be ever in your favor' for when you're stuck in a toxic social media loop on a rainy afternoon, alone and feeling suffocated.","The Hunger Games: Mockingjay - Part 1 (2014) is a Science Fiction, Adventure, Thriller film directed by Francis Lawrence. Produced by Lionsgate, Color Force in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Gritty dystopian realism with Jennifer Lawrence's unyielding determination. 'May the odds be ever in your favor' for when you're stuck in a toxic social media loop on a rainy afternoon, alone and feeling suffocated.. Synopsis: Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol. Starring: Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Julianne Moore. Written by Danny Strong, Peter Craig. Score by James Newton Howard. Tagline: 'Fire burns brighter in the darkness'. Runtime: 123 min. Rating: 6.6/10. Keywords: resistance, post-apocalyptic, dystopia, war, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel."
165000000.0,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",http://movies.disney.com/big-hero-6,177572,"['brother brother relationship', 'hero', 'talent', 'revenge', 'best friend', 'another dimension', 'robot', 'boy genius', 'hate', 'aftercreditsstinger', 'moral dilemma', '3d', 'teen superheroes', 'dead brother']",en,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",203.73459,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-24,652105443.0,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135,"Adventure, Family, Animation, Action, Comedy","brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother","Walt Disney Pictures, Walt Disney Animation Studios",2014.0,487105443.0,3.9521542,https://image.tmdb.org/t/p/w500/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,https://www.youtube.com/watch?v=8IdMPpKMdcc,"Chris Williams, Don Hall","Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung, Damon Wayans Jr.","Robert L. Baird, Daniel Gerson, Jordan Roberts",Rob Dressel,Henry Jackman,Roy Conli,"Sunny, family-friendly fun. Adorable robotic hugs and a healthy dose of Japanese culture. Watch on a lazy Sunday afternoon with the kids.","Big Hero 6 (2014) is a Adventure, Family, Animation, Action, Comedy film directed by Chris Williams, Don Hall. Produced by Walt Disney Pictures, Walt Disney Animation Studios in [{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]. Language: en. Atmosphere: Sunny, family-friendly fun. Adorable robotic hugs and a healthy dose of Japanese culture. Watch on a lazy Sunday afternoon with the kids.. Synopsis: The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes. Starring: Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung, Damon Wayans Jr.. Written by Robert L. Baird, Daniel Gerson, Jordan Roberts. Score by Henry Jackman. Tagline: 'From the creators of Wreck-it Ralph and Frozen'. Runtime: 102 min. Rating: 7.8/10. Keywords: brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother."
