budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_str,keywords_str,production_companies_str,year,profit,roi,poster_url,trailer_url,synthetic_vibe,rag_content
74000000.0,"['Family', 'Animation', 'Adventure', 'Comedy']",http://www.minionsmovie.com/,211672,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions', '3d']",en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",875.581305,"['Universal Pictures', 'Illumination Entertainment']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-17,1156730962.0,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Before Gru, they had a history of bad bosses",Minions,6.4,4571,"Family, Animation, Adventure, Comedy","assistant, aftercreditsstinger, duringcreditsstinger, evil mastermind, minions, 3d","Universal Pictures, Illumination Entertainment",2015.0,1082730962.0,15.631499486486486,https://image.tmdb.org/t/p/w500/dr02BdCNAUPVU07aOodwPYv6HCf.jpg,https://www.youtube.com/watch?v=Wfql_DoHRKc,"Quirky family outing, vibrant cartoon textures, joyful chaos...","Title: Minions. Vibe: Quirky family outing, vibrant cartoon textures, joyful chaos.... Genres: Family, Animation, Adventure, Comedy. Keywords: assistant, aftercreditsstinger, duringcreditsstinger, evil mastermind, minions, 3d"
165000000.0,"['Adventure', 'Drama', 'Science Fiction']",http://www.interstellarmovie.net/,157336,"['saving the world', 'artificial intelligence', 'father son relationship', 'single parent', 'nasa', 'expedition', 'wormhole', 'space travel', 'famine', 'black hole', 'dystopia', 'race against time', 'quantum mechanics', 'spaceship', 'space', 'rescue', 'family relationships', 'farmhouse', 'robot', 'astronaut', 'scientist', 'father daughter relationship', 'single father', 'farmer', 'space station', 'imax', 'astrophysics', 'zero gravity', 'courage', 'time paradox', 'relativity']",en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2014-11-05,675120017.0,169.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867,"Adventure, Drama, Science Fiction","saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity","Paramount Pictures, Legendary Pictures, Warner Bros., Syncopy, Lynda Obst Productions",2014.0,510120017.0,4.0916364666666665,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,https://www.youtube.com/watch?v=LY19rHKAaAg,"Cosmic adventure, meditative slow-burn, starry vastness...","Title: Interstellar. Vibe: Cosmic adventure, meditative slow-burn, starry vastness.... Genres: Adventure, Drama, Science Fiction. Keywords: saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity"
58000000.0,"['Action', 'Adventure', 'Comedy']",http://www.foxmovies.com/movies/deadpool,293660,"['anti hero', 'mercenary', 'marvel comic', 'superhero', 'based on comic book', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'self healing']",en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",514.569956,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-02-09,783112979.0,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Witness the beginning of a happy ending,Deadpool,7.4,10995,"Action, Adventure, Comedy","anti hero, mercenary, marvel comic, superhero, based on comic book, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, self healing","Twentieth Century Fox Film Corporation, Marvel Entertainment, The Donners' Company, TSG Entertainment, Kinberg Genre",2016.0,725112979.0,13.501947913793105,https://image.tmdb.org/t/p/w500/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,https://www.youtube.com/watch?v=9vN6DHB6bJc,"Darkly comedic late-night escapade, irreverent comic book visuals, reckless abandon...","Title: Deadpool. Vibe: Darkly comedic late-night escapade, irreverent comic book visuals, reckless abandon.... Genres: Action, Adventure, Comedy. Keywords: anti hero, mercenary, marvel comic, superhero, based on comic book, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, self healing"
170000000.0,"['Action', 'Science Fiction', 'Adventure']",http://marvel.com/guardians,118340,"['marvel comic', 'spaceship', 'space', 'outer space', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",481.098624,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-07-30,773328629.0,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742,"Action, Science Fiction, Adventure","marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe","Marvel Studios, Moving Picture Company (MPC), Bulletproof Cupid, Revolution Sun Studios",2014.0,603328629.0,4.548991935294118,https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,https://www.youtube.com/watch?v=3CqymRQ1uUU,"Cosmic road trip, gritty sci-fi aesthetic, euphoric sing-alongs...","Title: Guardians of the Galaxy. Vibe: Cosmic road trip, gritty sci-fi aesthetic, euphoric sing-alongs.... Genres: Action, Science Fiction, Adventure. Keywords: marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe"
150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",http://www.madmaxmovie.com/,76341,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'rescue', 'survival', 'on the run', 'convoy', 'peak oil', 'dark future']",en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",434.278564,"['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-05-13,378858340.0,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What a Lovely Day.,Mad Max: Fury Road,7.2,9427,"Action, Adventure, Science Fiction, Thriller","future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future","Village Roadshow Pictures, Kennedy Miller Productions, Warner Bros.",2015.0,228858340.0,2.5257222666666665,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg,https://www.youtube.com/watch?v=MonFNCgK4WE,"Post-apocalyptic desert escape, rugged action visuals, fiery femme-power...","Title: Mad Max: Fury Road. Vibe: Post-apocalyptic desert escape, rugged action visuals, fiery femme-power.... Genres: Action, Adventure, Science Fiction, Thriller. Keywords: future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future"
150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",http://www.jurassicworld.com/,135397,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-09,1513528810.0,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The park is open.,Jurassic World,6.5,8662,"Action, Adventure, Science Fiction, Thriller","monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror","Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",2015.0,1363528810.0,10.090192066666669,https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,https://www.youtube.com/watch?v=aJJrkyHas78,"Thrilling theme park adventure, high-octane action, prehistoric wonder...","Title: Jurassic World. Vibe: Thrilling theme park adventure, high-octane action, prehistoric wonder.... Genres: Action, Adventure, Science Fiction, Thriller. Keywords: monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror"
140000000.0,"['Adventure', 'Fantasy', 'Action']",http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22,"['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden eye', 'gold coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger', 'pirate ship', 'capuchin monkey', 'tortuga']",en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-07-09,655011224.0,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,"Adventure, Fantasy, Action","exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga","Walt Disney Pictures, Jerry Bruckheimer Films",2003.0,515011224.0,4.6786516,https://image.tmdb.org/t/p/w500/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,https://www.youtube.com/watch?v=-9HT0l9HV4c,"Swashbuckling beach party, sun-kissed tropical atmosphere, rhythmic pirate adventure...","Title: Pirates of the Caribbean: The Curse of the Black Pearl. Vibe: Swashbuckling beach party, sun-kissed tropical atmosphere, rhythmic pirate adventure.... Genres: Adventure, Fantasy, Action. Keywords: exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga"
170000000.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']",http://www.dawnofapes.com/,119450,"['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medical research', 'animal attack', 'plague', '3d']",en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",243.791743,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-26,710644566.0,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410,"Science Fiction, Action, Drama, Thriller","leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d","Ingenious Media, Chernin Entertainment, TSG Entertainment",2014.0,540644566.0,4.180262152941176,https://image.tmdb.org/t/p/w500/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,https://www.youtube.com/watch?v=DpSaTrW4leg,"Post-apocalyptic isolation, gritty 70s sci-fi aesthetic, introspective drama...","Title: Dawn of the Planet of the Apes. Vibe: Post-apocalyptic isolation, gritty 70s sci-fi aesthetic, introspective drama.... Genres: Science Fiction, Action, Drama, Thriller. Keywords: leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d"
125000000.0,"['Science Fiction', 'Adventure', 'Thriller']",http://www.thehungergames.movie/,131631,"['resistance', 'post-apocalyptic', 'dystopia', 'war', 'sequel', 'female protagonist', 'bow and arrow', 'game', 'future war', 'revolt', 'class prejudice', 'human subjugation', 'based on young adult novel']",en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,206.227151,"['Lionsgate', 'Color Force']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-11-18,752100229.0,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584,"Science Fiction, Adventure, Thriller","resistance, post-apocalyptic, dystopia, war, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel","Lionsgate, Color Force",2014.0,627100229.0,6.016801832,https://image.tmdb.org/t/p/w500/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,https://www.youtube.com/watch?v=IXshQ5mv1K8,"Dark dystopian realism, gritty war-torn atmosphere, emotional intensity...","Title: The Hunger Games: Mockingjay - Part 1. Vibe: Dark dystopian realism, gritty war-torn atmosphere, emotional intensity.... Genres: Science Fiction, Adventure, Thriller. Keywords: resistance, post-apocalyptic, dystopia, war, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel"
165000000.0,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",http://movies.disney.com/big-hero-6,177572,"['brother brother relationship', 'hero', 'talent', 'revenge', 'best friend', 'another dimension', 'robot', 'boy genius', 'hate', 'aftercreditsstinger', 'moral dilemma', '3d', 'teen superheroes', 'dead brother']",en,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",203.73459,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-24,652105443.0,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135,"Adventure, Family, Animation, Action, Comedy","brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother","Walt Disney Pictures, Walt Disney Animation Studios",2014.0,487105443.0,3.9521542,https://image.tmdb.org/t/p/w500/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,https://www.youtube.com/watch?v=8IdMPpKMdcc,"Quirky, high-school sci-fi, warm 8-bit animation...","Title: Big Hero 6. Vibe: Quirky, high-school sci-fi, warm 8-bit animation.... Genres: Adventure, Family, Animation, Action, Comedy. Keywords: brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother"
